IIiii|OACI|Nombre|Estado|Latitud|Longitud|Altitud|Notas
8484||TORROX - FARO|SPAIN|36-43-35N|003-57-24W|3|
8238||TORTOSA|SPAIN|40-49N|000-30E|44|
8263||TRUJILLO|SPAIN|39-28-57N|005-51-15W|503|
8281||UTIEL - LA CUBERA|SPAIN|39-34-31N|001-14-39W|761|
8960||VALDELINARES,' ESQUI|SPAIN|40-23N|000-38W|1975|
8351||VALDEPEÑAS|SPAIN|38-45-02N|003-23-29W|700|
8285||VALENCIA|SPAIN|39-29N|000-23W|13|
8284|LEVC|VALENCIA / AEROPUERTO|SPAIN|39-30N|000-28W|69|
8260||VALENCIA DE ALCANTARA|SPAIN|39-24-55N|007-14-52W|445|
8141||VALLADOLID|SPAIN|41-39N|004-46W|734|
8140|LEVD|VALLADOLID / VILLANUBLA|SPAIN|41-43N|004-51W|849|
8948||VALLTER 2000|SPAIN|42-26N|002-16E|2180|
8169||VANDELLOS|SPAIN|40-57-29N|000-52-15E|32|
8457||VEJER DE LA FRONTERA|SPAIN|36-14-44N|005-57-52W|186|
8046||VIGO|SPAIN|42-14N|008-45W|82|
8045|LEVX|VIGO / PEINADOR|SPAIN|42-13N|008-38W|264|
8241||VILLAFRANCA|SPAIN|40-25-59N|000-15-20E|1130|
8346||VILLANUEVA DE CORDOBA|SPAIN|38-19-59N|004-36-32W|750|
8125||VILLARDECIERVOS|SPAIN|41-56-29N|006-16-45W|864|
8354||VILLARRODRIGO|SPAIN|38-29-21N|002-38-17W|862|
8239||VINAROZ|SPAIN|40-33-33N|000-25-50E|110|
8345||VISO DEL MARQUES|SPAIN|38-31-04N|003-34-00W|778|
8129||VITIGUDINO|SPAIN|41-00-41N|006-26-15W|769|
8080|LEVT|VITORIA|SPAIN|42-53N|002-43W|513|
8290||XATIVA|SPAIN|39-00-06N|000-31-23W|88|
8050||XINZO DE LIMIA|SPAIN|42-04-45N|007-43-59W|616|
8356||YECLA|SPAIN|38-36-06N|001-09-33W|640|
8130||ZAMORA|SPAIN|41-30N|005-45W|654|
8159||ZARAGOZA - VALDESPARTE|SPAIN|41-37-14N|000-56-06W|254|
|LEZA|ZARAGOZA UNITED STATES AIR FORCE OPERATED BASE IN FOREIGN COUNTRY|SPAIN|41-40N|001-03W|263|
8160|LEZG|ZARAGOZA/AEROPUERTO|SPAIN|41-39-38N|001-00-15W|258|
8037||ZUMARRAGA - URZABALETA|SPAIN|43-04-46N|002-19-04W|420|
8026||ZUMAYA - FARO|SPAIN|43-18-06N|002-15-02W|28|
