ID|ESTACION|IIiii|OACI|Nombre|Estado|Latitud|Longitud|Altitud|Notas
8090|SOS DEL REY CATOLICO|8090.0||SOS DEL REY CATOLICO|SPAIN|42-29-25N|001-12-47W|626|
8208|SOTILLO DE LA ADRADA|8208.0||SOTILLO DE LA ADRADA|SPAIN|40-17-17N|004-35-26W|630|
8112|TALARN|8112.0||TALAR|SPAIN|42-12N|000-52E|800|
8274|TALAVERA DE LA REINA|8274.0||TALAVERA DE LA REINA|SPAIN|39-57-29N|004-51-47W|372|
8277|TARANCON|8277.0||TARANCON|SPAIN|40-00-41N|003-01-17W|808|
8458|TARIFA|8458.0||TARIFA|SPAIN|36-00N|005-36W|10|
8173|TARREGA|8173.0||TARREGA|SPAIN|41-39-01N|001-08-57E|363|
8235|TERUEL|8235.0||TERUEL|SPAIN|40-21N|001-07W|900|
8272|TOLEDO|8272.0||TOLEDO|SPAIN|39-53N|004-03W|515|
8276|TOMELLOSO|8276.0||TOMELLOSO|SPAIN|39-10-09N|003-00-24W|662|
8228|TORREJON DE VELASCO|8228.0||TORREJON DE VELASCO|SPAIN|40-11N|003-43W|707|
8238|TORTOSA|8238.0||TORTOSA|SPAIN|40-49N|000-30E|44|
8263|TRUJILLO|8263.0||TRUJILLO|SPAIN|39-28-57N|005-51-15W|503|
8281|UTIEL, LA CUBERA|8281.0||UTIEL - LA CUBERA|SPAIN|39-34-31N|001-14-39W|761|
8960|VALDELINARES, ESQUI|8960.0||VALDELINARES,' ESQUI|SPAIN|40-23N|000-38W|1975|
8351|VALDEPENAS|8351.0||VALDEPEÑAS|SPAIN|38-45-02N|003-23-29W|700|
8260|VALENCIA DE ALCANTAR|8260.0||VALENCIA DE ALCANTARA|SPAIN|39-24-55N|007-14-52W|445|
8285|VALENCIA VIVEROS|8285.0||VALENCIA|SPAIN|39-29N|000-23W|13|
8284|VALENCIA/AEROPUERTO|8284.0|LEVC|VALENCIA / AEROPUERTO|SPAIN|39-30N|000-28W|69|
8141|VALLADOLID|8141.0||VALLADOLID|SPAIN|41-39N|004-46W|734|
8140|VALLADOLID/VILLANUBLA|8140.0|LEVD|VALLADOLID / VILLANUBLA|SPAIN|41-43N|004-51W|849|
8948|VALLTER 2000|8948.0||VALLTER 2000|SPAIN|42-26N|002-16E|2180|
8169|VANDELLOS|8169.0||VANDELLOS|SPAIN|40-57-29N|000-52-15E|32|
8457|VEJER DE LA FRONTERA|8457.0||VEJER DE LA FRONTERA|SPAIN|36-14-44N|005-57-52W|186|
8045|VIGO/PEINADOR|8045.0|LEVX|VIGO / PEINADOR|SPAIN|42-13N|008-38W|264|
8241|VILLAFRANCA|8241.0||VILLAFRANCA|SPAIN|40-25-59N|000-15-20E|1130|
8346|VILLANUEVA DE CORDOB|8346.0||VILLANUEVA DE CORDOBA|SPAIN|38-19-59N|004-36-32W|750|
